,Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),Time (24:00),AirTemp (C),Year
206,Bay,1993-08-02,3.9,8.0,8.0,0.4,0.8,26.5,86.0,0:00,30.0,1993
207,Bay,1993-08-09,3.5,9.1,8.0,0.3,0.55,25.5,79.7,16:48,26.5,1993
211,Bay,1993-09-27,1.8,7.2,7.9,0.4,0.95,24.5,76.1,2:24,24.5,1993
213,Bay,1993-10-12,1.5,8.8,7.8,0.3,0.5,16.5,59.0,0:00,15.0,1993
214,Bay,1993-10-18,1.5,8.8,7.7,0.35,0.75,18.0,64.94,22:33,18.3,1993
215,Bay,1993-10-25,1.8,10.6,8.4,0.4,0.6,15.6,66.02,0:28,18.9,1993
216,Bay,1993-11-08,1.5,8.2,7.5,0.35,0.55,9.8,52.34,8:09,11.3,1993
217,Bay,1993-11-15,1.4,9.6,7.9,0.4,0.8,17.3,72.5,12:00,22.5,1993
218,Bay,1993-11-29,1.5,9.4,7.1,0.2,0.55,12.1,50.9,21:36,10.5,1993
219,Bay,1993-12-06,1.5,9.8,7.4,0.25,0.75,10.5,48.74,17:45,9.3,1993
220,Bay,1993-12-13,1.5,13.0,7.6,0.25,0.45,1.3,41.9,21:36,5.5,1993
221,Bay,1993-12-28,1.5,12.1,7.1,0.3,0.7,3.8,39.74,17:45,4.3,1993
0,Bay,1994-01-03,1.3,11.7,7.3,0.4,0.4,5.9,46.4,11:00,8.0,1994
1,Bay,1994-01-31,1.5,12.0,7.4,0.2,0.35,3.0,36.68,11:30,2.6,1994
2,Bay,1994-02-07,1.0,10.5,7.2,0.25,0.6,5.9,45.68,9:45,7.6,1994
4,Bay,1994-02-28,1.0,12.6,7.2,0.2,0.4,1.6,32.0,10:30,0.0,1994
5,Bay,1994-03-07,1.0,9.9,7.1,0.2,0.9,9.7,59.36,10:00,15.2,1994
6,Bay,1994-03-14,0.5,10.4,7.2,0.25,0.75,9.8,50.18,11:00,10.1,1994
7,Bay,1994-03-28,1.0,9.2,7.1,0.15,0.95,16.1,71.78,9:50,22.1,1994
8,Bay,1994-04-04,1.0,9.2,7.2,0.25,0.75,15.0,56.3,10:00,13.5,1994
9,Bay,1994-04-11,1.0,8.6,7.3,0.2,0.75,15.7,55.4,10:00,13.0,1994
10,Bay,1994-04-18,1.0,8.8,7.6,0.2,0.7,17.5,61.88,10:30,16.6,1994
11,Bay,1994-04-25,1.0,10.0,7.9,0.2,0.5,19.3,71.78,11:00,22.1,1994
12,Bay,1994-05-02,1.3,9.8,7.5,0.2,0.65,16.1,55.4,10:30,13.0,1994
13,Bay,1994-05-09,1.0,10.1,7.9,0.25,0.75,18.8,67.1,10:45,19.5,1994
14,Bay,1994-05-16,1.0,8.2,7.8,0.25,0.8,22.1,72.14,10:00,22.3,1994
15,Bay,1994-05-23,1.0,10.8,9.1,0.05,0.05,21.7,75.74,11:00,24.3,1994
17,Bay,1994-06-06,1.0,9.4,8.6,0.35,0.8,23.8,78.26,11:00,25.7,1994
18,Bay,1994-06-13,1.2,10.4,9.0,0.35,0.8,27.9,80.42,10:45,26.9,1994
19,Bay,1994-06-20,1.5,9.8,9.0,0.35,0.7,29.5,86.9,10:15,30.5,1994
22,Bay,1994-06-25,2.0,11.0,9.4,0.5,0.9,30.5,83.3,10:30,28.5,1994
20,Bay,1994-06-27,1.5,7.3,8.1,0.25,1.2,25.5,82.22,10:15,27.9,1994
21,Bay,1994-07-03,2.0,10.7,9.0,0.4,0.9,28.5,82.4,10:40,28.0,1994
24,Bay,1994-08-08,2.0,10.2,9.2,0.4,0.55,22.0,70.7,10:30,21.5,1994
25,Bay,1994-08-15,2.3,6.9,8.8,0.45,0.9,24.5,68.0,10:30,20.0,1994
26,Bay,1994-08-22,2.0,9.1,9.1,0.45,0.9,27.0,76.1,10:30,24.5,1994
27,Bay,1994-08-29,2.3,9.8,9.3,0.45,0.75,27.0,80.6,10:45,27.0,1994
28,Bay,1994-09-05,2.5,8.6,8.5,0.2,1.2,17.0,62.6,10:00,17.0,1994
29,Bay,1994-09-12,2.5,7.9,8.4,0.35,0.6,21.0,66.2,10:30,19.0,1994
30,Bay,1994-09-19,2.5,8.2,8.1,0.45,0.6,20.5,70.7,10:30,21.5,1994
31,Bay,1994-09-26,2.25,6.9,8.1,0.45,0.8,23.0,73.4,10:15,23.0,1994
32,Bay,1994-10-10,2.5,8.4,8.1,0.45,0.5,17.0,62.6,10:30,17.0,1994
33,Bay,1994-10-24,2.5,7.4,7.6,0.35,0.85,18.0,66.2,10:20,19.0,1994
34,Bay,1994-11-07,2.5,9.0,7.3,0.2,0.5,15.0,59.0,10:00,15.0,1994
35,Bay,1994-11-28,2.8,9.4,7.7,0.25,0.65,13.0,63.5,10:30,17.5,1994
36,Bay,1994-12-12,2.5,11.4,6.9,0.35,0.4,5.0,41.0,11:00,5.0,1994
37,Bay,1994-12-29,3.0,10.4,6.9,0.15,0.4,8.0,49.1,11:00,9.5,1994
222,Bay,1995-01-16,3.0,8.5,7.4,0.25,0.85,13.5,61.7,16:48,16.5,1995
223,Bay,1995-01-23,3.0,10.75,7.1,0.2,0.7,4.5,46.4,9:36,8.0,1995
224,Bay,1995-02-13,3.0,12.5,6.8,0.2,0.25,2.0,29.3,7:12,-1.5,1995
225,Bay,1995-03-06,2.4,9.3,7.1,0.2,0.2,9.5,46.4,9:36,8.0,1995
227,Bay,1995-03-20,2.8,8.9,7.1,0.35,0.45,12.5,54.5,12:00,12.5,1995
228,Bay,1995-03-27,2.4,9.0,7.1,0.25,0.45,11.0,53.6,14:24,12.0,1995
229,Bay,1995-04-03,2.4,9.3,7.1,0.4,0.55,11.5,54.5,12:00,12.5,1995
230,Bay,1995-04-10,3.2,8.5,7.1,0.25,0.7,15.0,48.2,4:48,9.0,1995
231,Bay,1995-04-18,3.0,9.0,7.1,0.25,0.5,16.0,58.1,2:24,14.5,1995
232,Bay,1995-04-24,3.0,9.7,7.4,0.25,0.55,12.5,50.0,0:00,10.0,1995
233,Bay,1995-05-01,3.2,8.9,7.2,0.3,0.6,15.0,52.7,16:48,11.5,1995
234,Bay,1995-05-15,3.3,6.8,6.8,0.3,0.55,21.5,74.3,7:12,23.5,1995
235,Bay,1995-05-22,3.3,6.8,6.8,0.3,0.55,21.5,74.3,7:12,23.5,1995
236,Bay,1995-05-29,3.5,8.5,7.5,0.4,0.4,22.0,80.6,14:24,27.0,1995
237,Bay,1995-06-05,4.0,7.8,7.6,0.3,0.3,25.0,73.4,9:36,23.0,1995
238,Bay,1995-06-12,3.5,7.7,7.9,0.4,0.9,26.5,77.9,21:36,25.5,1995
239,Bay,1995-06-19,3.2,7.7,8.0,0.4,0.55,25.0,75.2,4:48,24.0,1995
240,Bay,1995-06-26,4.0,8.8,8.3,0.5,0.8,28.5,82.4,9:36,28.0,1995
242,Bay,1995-07-10,4.0,7.0,7.9,0.35,0.7,26.0,79.7,16:48,26.5,1995
243,Bay,1995-07-17,4.0,7.0,8.0,0.45,1.0,30.0,84.2,4:48,29.0,1995
